job_number,publication_domain,target_page,anchor_text
1,sek-converter.se,https://www.kleer.se/lonesystem/,lönesystem
2,makeachange.se,https://www.rusta.com/se/sv/hem--inredning/mattor/,Mattor
3,creatables.se,https://www.rusta.com/sv-se/hem-och-inredning/belysning,Belysning
4,coresys.se,https://www.startmotor.se/kategori/b%C3%A5tbatteri,båtbatteri
5,serviceteknikerkarlstad.se,https://www.startmotor.se/fordon/reservdelar-bat/volvo-penta,volvo penta reservdelar
6,houseofpadel.se,https://massagestockholm.se/,Massage Stockholm
7,14karat.se,https://supernormal.health/se/,Digital vård
8,bygg-appen.se,https://swedenlongstay.se/sv/foretagsbostader,Företagsbostäder
9,saralundberg.se,https://swedenlongstay.se/sv/foretagsbostader/stockholm/,Företagsbostäder stockholm
10,bygg-appen.se,https://sakraror.se/vara-tjanster/allman-service-vvs/vvs-i-taby/,VVS Täby
11,sollentunaextra.se,https://sakraror.se/,Rörmokare i Sollentuna
12,coresys.se,https://tiotak.se,takläggare
13,keynote.se,https://tiotak.se/byta-tak-maskinhall/,byta tak maskinhall
14,hot-maillogginse.se,https://tryggbil.se/,bilverkstad tyresö
15,serviceteknikerkarlstad.se,https://tryggbil.se/,bilverkstad
16,hot-maillogginse.se,https://sesec.se/,Ordningsvakt
17,tygpyssling.se,https://www.lilla-varlden.se/,barnbutik
18,healthyliving.se,https://tandea.se/tandvard/akut-tandvard-stockholm/,Akut tandvård i Stockholm
19,houseofpadel.se,https://sahlstenskincare.se/,Sahlstenskincare
20,firmify.se,https://finns.se/foretagstjanster/kontorsstadning/,Kontorsstädning Göteborg
21,1direct.se,https://www.indoorprofessional.se/,lokalvård stockholm
22,saralundberg.se,https://www.indoorprofessional.se/,lokalvård stockholm
23,14karat.se,https://standupsverige.se,stand up stockholm
24,hot-maillogginse.se,https://xn--sveafrskring-mcb3w.se/,svea försäkring
25,secworks.se,https://floristerisverige.se/,blombud
26,svalan.se,https://floristerisverige.se/begravningsblommor/,begravningsblommor
27,stockholmextra.se,https://www.michaelofrisorerna.se/,Frisör på södermalm
28,healthyliving.se,https://www.michaelofrisorerna.se/,Frisör på södermalm
29,keynote.se,https://tkw.se/,akustik
30,secworks.se,https://tkw.se/,akustik
31,secworks.se,https://www.birgerbostad.se/hitta-bostad/kopa-agarlagenhet/,ägarlägenhet
32,jetshopfree.se,https://www.birgerbostad.se/hitta-bostad/hitta-bostad/solna/albertina---agarlagenheter/,äganderätt lägenhet
